project,pull_number,id,url,before,after
beam,1974,100887469,https://github.com/apache/beam/pull/1974#discussion_r100887469,4bb23c995281ec2075bc471465b6ec7a0e7746c8,32a1023e93a2fe494164e79ef08300663ed98a30
flink,8446,285160885,https://github.com/apache/flink/pull/8446#discussion_r285160885,f07b760a3f0f446eda71b007516df27d874131c6,01588c5fd5326175d67a279a754f6f47b72e5338
flink,2363,240791329,https://github.com/apache/flink/pull/2363#issuecomment-240791329,c0c6e88419b250ab0c15dfcd180b3129a5d711df,236353046753f51ed70b0056bf498cc7af41e0d5
spark,29795,493190061,https://github.com/apache/spark/pull/29795#discussion_r493190061,331af594a7b12c061a8aa5f01d8b6df83a707149,650d366b71982ff496b6f57af66fcf82d77603bf
flink,14084,554882968,https://github.com/apache/flink/pull/14084#discussion_r554882968,None,None
spark,31905,811106021,https://github.com/apache/spark/pull/31905#issuecomment-811106021,36b34e086f15ad21698e17eaf65c7efaad05db99,3dc8a4b85a282e89fd61032c77b6f27eeb9f4f5a
accumulo,332,368365644,https://github.com/apache/accumulo/pull/332#issuecomment-368365644,None,None
spark,18567,313762412,https://github.com/apache/spark/pull/18567#issuecomment-313762412,443b33e21fc3789a064ee60aed9f1b37b6be8157,1d5a0d0e40885f1ffb5ee87031ecf3fadd9e788e
incubator-pinot,5769,467200428,https://github.com/apache/incubator-pinot/pull/5769#discussion_r467200428,None,None
beam,13137,522334301,https://github.com/apache/beam/pull/13137#discussion_r522334301,6c4a87f1881256c1130aec2fb347f290e8efcc1b,f923e67df39b119008be9ba8d0f83e1daf026a20
groovy,480,275655612,https://github.com/apache/groovy/pull/480#issuecomment-275655612,None,None
pulsar,3019,243864237,https://github.com/apache/pulsar/pull/3019#discussion_r243864237,None,None
beam,5384,189163677,https://github.com/apache/beam/pull/5384#discussion_r189163677,None,None
zeppelin,2706,353205540,https://github.com/apache/zeppelin/pull/2706#issuecomment-353205540,None,None
druid,3939,102355893,https://github.com/apache/druid/pull/3939#discussion_r102355893,f368a5e7a7ec08416348d2a07ff5d0e55c53b89a,64b69ee20dedd8dd7074e64408b794d9745e9289
trafodion,644,73953757,https://github.com/apache/trafodion/pull/644#discussion_r73953757,08573725a75f8a1168ca6da6a7727b6f6a6f8900,d4c0448fe74111b7065a796fe3d9934e62cd653d
spark,26108,334704586,https://github.com/apache/spark/pull/26108#discussion_r334704586,None,None
incubator-mxnet,8015,141497578,https://github.com/apache/incubator-mxnet/pull/8015#discussion_r141497578,None,None
incubator-heron,3032,437498318,https://github.com/apache/incubator-heron/pull/3032#issuecomment-437498318,7b0ebdb31482f47bd7b12d9019a28b4d69e76a89,97a76b5be404e99eadd08069d33348c0d99598f7
zeppelin,3497,548180234,https://github.com/apache/zeppelin/pull/3497#issuecomment-548180234,728bb1b5fa305321b02387fc216dc7d85031ab24,210d0a0d8903aa276ae42b27351e99169acb8036
spark,3246,22343430,https://github.com/apache/spark/pull/3246#discussion_r22343430,ff77d68e5bba4dd1566831030226884f66672363,cad3f757dff9bc6f04fd69cba1eadf6fe2154f7b
jena,151,252431461,https://github.com/apache/jena/pull/151#issuecomment-252431461,2e8fc564b349f5b2314d8db8e15c1afb0bdbf2dc,b2c4e61fbe0c8512ca45a7f621e0207b855e0649
