project,languages
ignite,"{'Java': 49943065, 'C#': 7736649, 'C++': 4519757, 'Python': 336246, 'Shell': 306738, 'CMake': 54473, 'Batchfile': 48938, 'Jinja': 33639, 'FreeMarker': 18828, 'HTML': 14341, 'Dockerfile': 12076, 'PHP': 11079, 'PowerShell': 9223, 'C': 7601, 'JavaScript': 1085, 'Makefile': 932}"
accumulo,"{'Java': 12678431, 'Shell': 79110, 'JavaScript': 75326, 'FreeMarker': 56144, 'Thrift': 49247, 'C++': 37322, 'CSS': 7789, 'Python': 7345, 'HTML': 5505, 'Makefile': 2873, 'C': 2438}"
trafodion,"{'C++': 69371512, 'C': 20220867, 'Java': 12668519, 'PureBasic': 3426947, 'Shell': 1784667, 'Yacc': 1394861, 'Perl': 584811, 'Python': 563582, 'JavaScript': 490615, 'Makefile': 329244, 'CSS': 99092, 'PLpgSQL': 76490, 'GDB': 62692, 'Roff': 46614, 'LLVM': 37226, 'Batchfile': 32498, '1C Enterprise': 27364, 'Inno Setup': 25816, 'Awk': 21328, 'PHP': 8438, 'Ruby': 8053, 'XSLT': 6100, 'HTML': 4618, 'Tcl': 4522, 'QMake': 3916, 'PLSQL': 2785, 'Dockerfile': 2122}"
incubator-brooklyn,"{'Java': 16533047, 'JavaScript': 2410284, 'CSS': 354387, 'HTML': 198798, 'Shell': 63409, 'Ruby': 42623, 'Groovy': 33031, 'Erlang': 15725, 'PowerShell': 13477, 'Batchfile': 6226, 'PHP': 6084, 'XSLT': 5183}"
dubbo,"{'Java': 13594298, 'Mustache': 60091, 'Shell': 15510, 'JavaScript': 3258, 'Lex': 2076, 'Batchfile': 1959, 'Dockerfile': 1421}"
hudi,"{'Java': 15464926, 'Scala': 3259724, 'Shell': 155068, 'ANTLR': 152941, 'Python': 37458, 'Dockerfile': 27803, 'Mustache': 3826}"
zeppelin,"{'Java': 7848482, 'Jupyter Notebook': 1840014, 'JavaScript': 1332780, 'TypeScript': 519085, 'HTML': 438085, 'Scala': 348460, 'Python': 112983, 'Less': 107894, 'CSS': 97807, 'Shell': 95500, 'Roff': 63153, 'Dockerfile': 31457, 'Jinja': 22753, 'R': 13350, 'Batchfile': 11923, 'Thrift': 10715, 'Groovy': 9274, 'XSLT': 1326}"
camel,"{'Java': 109909147, 'Groovy': 409974, 'XSLT': 276597, 'HTML': 211577, 'JavaScript': 103815, 'Kotlin': 41869, 'Shell': 14290, 'Elm': 10852, 'RobotFramework': 8461, 'FreeMarker': 8015, 'Thrift': 6979, 'Apex': 6695, 'Tcl': 4974, 'CSS': 4277, 'Dockerfile': 2970, 'Batchfile': 2353, 'Jsonnet': 1734, 'XQuery': 699, 'Mustache': 525, 'Ruby': 88}"
commons-lang,"{'Java': 6814940, 'HTML': 157634, 'Shell': 157}"
openwhisk,"{'Scala': 4919987, 'JavaScript': 243847, 'Python': 118740, 'Shell': 108719, 'Java': 36882, 'Jinja': 23038, 'Groovy': 22090, 'Dockerfile': 15101, 'Swift': 11486, 'HTML': 6012, 'CSS': 4339, 'Mustache': 2820, 'C#': 1285, 'Lua': 821}"
hive,"{'Java': 59900430, 'HiveQL': 8337352, 'Python': 383647, 'Perl': 319742, 'PLpgSQL': 294996, 'q': 291165, 'Shell': 271549, 'GAP': 208979, 'Thrift': 165189, 'PHP': 148097, 'C++': 96657, 'ANTLR': 55440, 'JavaScript': 44139, 'C': 28218, 'HTML': 24102, 'TSQL': 14126, 'PigLatin': 12333, 'PLSQL': 9105, 'Roff': 5379, 'CSS': 4742, 'ReScript': 3460, 'M4': 2276, 'XSLT': 1329, 'SQLPL': 1190, 'Batchfile': 845}"
daffodil,"{'Scala': 6596443, 'C': 211919, 'XSLT': 206086, 'Java': 154857, 'Shell': 18455, 'HTML': 6470, 'Makefile': 3471, 'Dockerfile': 2706, 'Python': 1723}"
jena,"{'Java': 35323522, 'Shell': 265955, 'Ruby': 216471, 'Vue': 104701, 'Lex': 82672, 'JavaScript': 73575, 'HTML': 69029, 'XSLT': 65126, 'Perl': 35662, 'Haml': 30030, 'Batchfile': 22246, 'C++': 5877, 'SCSS': 4242, 'Thrift': 3755, 'Dockerfile': 3341, 'CSS': 3241, 'Elixir': 2548, 'Python': 416, 'Makefile': 198}"
hawq,"{'C': 37633228, 'Python': 4831394, 'C++': 3837417, 'Java': 2644547, 'PLpgSQL': 1152604, 'Perl': 941583, 'Makefile': 535042, 'Yacc': 474387, 'Shell': 468108, 'Smarty': 244244, 'HTML': 216730, 'Lex': 203914, 'CMake': 168320, 'M4': 83033, 'Roff': 55234, 'Batchfile': 16630, 'Fortran': 14777, 'Dockerfile': 10552, 'Thrift': 9459, 'CSS': 8990, 'XS': 8309, 'Assembly': 5196, 'sed': 1290, 'DTrace': 1154, 'Raku': 760, 'GDB': 576, 'Csound Score': 179}"
phoenix,"{'Java': 22497441, 'JavaScript': 217517, 'Python': 163575, 'Shell': 156820, 'GAP': 53062, 'HTML': 18971, 'Dockerfile': 6417}"
airflow,"{'Python': 24484775, 'TypeScript': 527497, 'Shell': 209017, 'HTML': 164593, 'JavaScript': 148839, 'Dockerfile': 70705, 'Jinja': 41680, 'CSS': 26138, 'Jupyter Notebook': 5482, 'HCL': 3786, 'Mako': 1339, 'R': 313}"
netbeans,"{'Java': 310407930, 'Standard ML': 33978884, 'HTML': 6849916, 'PHP': 4064630, 'XSLT': 1555745, 'JavaScript': 1387166, 'C': 507526, 'CSS': 415545, 'Shell': 394265, 'Lex': 256957, 'TypeScript': 161382, 'Roff': 150799, 'FreeMarker': 131129, 'Groovy': 100233, 'GAP': 75778, 'Makefile': 51863, 'ANTLR': 51082, 'Smarty': 41098, 'Latte': 34565, 'Twig': 33425, 'C++': 32245, 'Batchfile': 31017, 'Pug': 28575, 'AspectJ': 12305, 'Perl': 10188, 'SCSS': 6321, 'Swift': 5322, 'R': 4196, 'Less': 3685, 'Haskell': 3625, 'Python': 3334, 'Ruby': 3304, 'Grammatical Framework': 1954, 'Hack': 1870, 'Dockerfile': 1079, 'NASL': 144}"
usergrid,"{'Java': 11103172, 'HTML': 2934842, 'JavaScript': 581094, 'PHP': 441368, 'Python': 398058, 'Objective-C': 396026, 'CSS': 252921, 'Ruby': 200736, 'Scala': 185325, 'Shell': 127130, 'Perl': 60137, 'Groovy': 37813, 'Nu': 8658, 'GAP': 8153, 'Batchfile': 2211, 'Gherkin': 260}"
qpid-dispatch,"{'Python': 2574831, 'C': 2349491, 'JavaScript': 734276, 'C++': 549820, 'CMake': 54770, 'CSS': 49129, 'Shell': 34107, 'Dockerfile': 3323, 'HTML': 2320}"
madlib,"{'C++': 1418037, 'C': 1347518, 'Python': 458674, 'CMake': 184955, 'Shell': 33959, 'PLpgSQL': 16618, 'Makefile': 2615, 'HTML': 458}"
kafka,"{'Java': 34656306, 'Scala': 10195827, 'Python': 1163728, 'Shell': 107915, 'Roff': 39396, 'Batchfile': 32942, 'Dockerfile': 9184, 'XSLT': 7116, 'HTML': 3739}"
spark,"{'Scala': 45439506, 'Python': 9264174, 'Java': 4794684, 'Jupyter Notebook': 4310512, 'HiveQL': 1859465, 'R': 1292801, 'PLpgSQL': 352609, 'Shell': 245608, 'JavaScript': 223014, 'q': 111129, 'ANTLR': 61644, 'HTML': 42080, 'Roff': 32290, 'Batchfile': 27482, 'CSS': 26514, 'Dockerfile': 16395, 'PowerShell': 5947, 'Makefile': 2379, 'Thrift': 2016, 'C': 1493, 'ReScript': 240}"
samza,"{'Java': 9202195, 'Scala': 1236706, 'Python': 87956, 'Shell': 61590, 'Scaml': 20736, 'Less': 7492, 'XSLT': 7116, 'JavaScript': 3373, 'HTML': 3182, 'CSS': 603}"
