project,language
incubator-pinot,Java
daffodil,Scala
kafka,Java
skywalking,Java
parquet-mr,Java
cloudstack,Java
attic-apex-core,Java
helix,Java
lucene-solr,
calcite,Java
pulsar,Java
phoenix,Java
activemq-artemis,Java
reef,Java
zeppelin,Java
spark,Scala
trafficserver,C++
fineract,Java
geode,Java
flink,Java
systemds,Java
gobblin,Java
dubbo,Java
openwhisk-wskdeploy,Go
kylin,Java
airflow,Python
jena,Java
incubator-dolphinscheduler,Java
openwhisk,Scala
qpid-dispatch,Python
tvm,Python
storm,Java
hadoop,Java
trafficcontrol,Go
hive,Java
beam,Java
superset,TypeScript
rocketmq,Java
hbase,Java
cxf,Java
jmeter,Java
incubator-mxnet,C++
arrow,C++
bookkeeper,Java
ambari,Java
orc,HTML
incubator-pagespeed-ngx,C++
samza,Java
nutch,Java
nifi-minifi-cpp,C++
netbeans-website,SCSS
netbeans,Java
ignite,Java
zookeeper,Java
ozone,Java
brooklyn-server,Java
attic-stratos,Java
tajo,Java
incubator-doris,Java
drill,Java
thrift,C++
couchdb,Erlang
guacamole-client,Java
apisix-dashboard,Go
trafodion,C++
carbondata,Scala
incubator-brooklyn,Java
hudi,Java
cassandra,Java
hawq,C
camel-quarkus,Java
camel,Java
iceberg,Java
apisix,Lua
druid,Java
shardingsphere,Java
commons-lang,Java
groovy,Java
shardingsphere-elasticjob,Java
usergrid,Java
nifi,Java
incubator-heron,Java
accumulo,Java
geode-native,C++
madlib,C++
tomee,Java
tinkerpop,Java
