Koen,Germán,Lars
Readability,Readability,Readability
Readability,Readability,Readability
Readability,Readability,Readability
Readability,Readability,Readability
ArchitecturalFlaw,ArchitecturalFlaw,ArchitecturalFlaw
DeadCode,DeadCode,DeadCode
Duplicate,Duplicate,Duplicate
Convention,ArchitecturalFlaw,Convention
BugProne,BugProne,BugProne
PoorTesting,PoorTesting,PoorTesting
BugProne,BugProne / MissingDocs,BugProne
DeadCode,DeadCode,Readability
Convention,Convention,Readability
BugProne,BugProne,BugProne
DeadCode,DeadCode,DeadCode
PoorTesting,PoorTesting,PoorTesting
Readability,Readability,Readability
PoorOutput,PoorOutput,PoorOutput
Readability,Readability,Readability
Readability,ArchitecturalFlaw,ArchitecturalFlaw
Convention,Convention,Readability
Convention,Convention,Convention
DeadCode,DeadCode,DeadCode
DeadCode,PoorPerformance,PoorPerformance
NotSATD,Duplicate,ArchitecturalFlaw
ArchitecturalFlaw,ArchitecturalFlaw,ArchitecturalFlaw
ArchitecturalFlaw,ArchitecturalFlaw,ArchitecturalFlaw
MissingDocs,MissingDocs,MissingDocs
MissingDocs,MissingDocs,MissingDocs
DeadDocs,Non-SATD,DeadDocs
Readability,Convention,Readability
PoorPerformance,PoorPerformance,PoorPerformance
BugProne,PoorTesting,PoorTesting
ArchitecturalFlaw,ArchitecturalFlaw,ArchitecturalFlaw
Readability,Readability,Readability
Convention,Convention,Convention
BugProne,BugProne,BugProne
Convention,ArchitecturalFlaw,ArchitecturalFlaw
Readability,Readability,Readability
ArchitecturalFlaw,DeadCode,DeadCode
PoorPerformance,PoorPerformance,PoorPerformance
ArchitecturalFlaw,ArchitecturalFlaw,ArchitecturalFlaw
BugProne,BugProne,BugProne
BugProne,BugProne,ArchitecturalFlaw
PoorTesting,PoorTesting,Readability
MissingDocs,MissingDocs,MissingDocs
DeadCode,DeadCode,DeadCode
Readability,Readability,Readability
BugProne,Convention,Readability
PoorTesting,PoorTesting,PoorTesting
ArchitecturalFlaw,ArchitecturalFlaw,ArchitecturalFlaw
