project,pull_number,pull_type,id,text,classification,indicator
beam,1974,review,100887469,"What is the relationship between ""dataflow counters"" and ""metric updates""?  This comment refers to counters, while the code below refers to metric update protos.  Should this comment instead mention translating accumulators for metric updates so that this class should be renamed accordingly?
Also, the naming of the methods below is confusing: two arguments are passed, e.g. set_boolean(accumulator, metric_update_proto).  Just reading this signature suggests that the accumulator will somehow have a boolean set from metric_update_proto, which is the opposite of what is intended.  Can you instead rename these methods translate_*, e.g. for translate_boolean(accumulator, metric_update_proto)?  This would make it clear that we are translating accumulator into metric_update_proto.  If you do this, can you rename set_scalar and set_mean in this file as well?",code_debt,low_quality_code
spark,29795,review,493190061,nit: use local variable if possible,code_debt,low_quality_code
beam,13137,review,522334301,Maybe you also need to add null checks in process... up to you.,code_debt,low_quality_code
pulsar,3019,review,243864237,"yes, I think earlier code was not formatted with formatter that caused this reformatting change.",code_debt,low_quality_code
druid,3939,review,102355893,Use log message formatting `%d`,code_debt,low_quality_code
spark,21476,review,192476723,"This is so specific to the way YARN runs things that I don't think it would be useful anywhere else. If at some point it becomes useful, the code can be moved.
I think the tests I added are better than just unit testing this function, since that way the code is actually being run through YARN and bash.",code_debt,low_quality_code
flink,6159,review,195443441,"@Nonnegative int keyGroupId, for consistency",code_debt,low_quality_code
kafka,3325,review,128649545,"Instead of using this separate class and do the `instanceof` check on each call (which maybe expensive), maybe we could just have a `WrappedBatchingStateRestoreCallback` which only takes the non-batching `StateRestoreCallback` in constructor and then in `restoreAll` always do the for-loop, and in places that we need it (seems we only have two callers) we can do sth. like
Just once.",code_debt,low_quality_code
spark,8093,review,36782853,"Hmm... you'll also need to change `taskEndReasonFromJson`, otherwise the history server won't see the new information. Also, when adding new properties to serialized classes, we generally use `Option[Foo]` (see calls to `Utils.jsonOption` in this class).",code_debt,low_quality_code
superset,10728,review,479692093,"nit: commented out code bothers me. It's in a storybook, though, so I won't strongly object.",code_debt,low_quality_code
drill,1892,review,363140288,"You probably *really* don't want to do this. Converting the response to a string causes the client to download the **entire** response to memory, then convert it to a Java string. Doing so completely negates the disk-based buffering that seems to be implemented below.",code_debt,low_quality_code
spark,4363,review,24212525,nit: indent two spaces,code_debt,low_quality_code
spark,23181,review,237952522,nit: `clone()`,code_debt,low_quality_code
flink,7759,review,258458285,"consider converting the following conditions to methods, this would assign a name to the condition, and possibly would make it a bit easier to test.",code_debt,low_quality_code
spark,13565,review,66319324,"Pretty sure that such a long duration isn't really necessary, but I don't think it hurts to make it longer just in case.",code_debt,low_quality_code
incubator-doris,3587,review,425210765,The second parameter is better to be a complete sentence.,code_debt,low_quality_code
spark,20194,review,161000312,"Impala is the only reference I can find https://www.cloudera.com/documentation/enterprise/5-10-x/topics/impala_show.html
To be consistent with the other SHOW function, we can make LIKE optional?",code_debt,low_quality_code
spark,1218,review,15828037,"@mridulm yes I'm aware of that. But before, SparkContext was using reflection to instantiate two different classes in the yarn package, and then connect them manually. I removed one of those (see that there's still reflection code to load `YarnClusterScheduler`) because it seemed unnecessary.",code_debt,dead_code
flink,4364,review,128512830,"In very rare cases, it might. I want to change the `Execution` a bit on the `master` to make this unnecessary.
However, that is too much surgery in a critical part for a bugfix release, so I decided to be conservative in the runtime code and rather pay this price in the tests.",code_debt,complex_code
trafficserver,6379,review,373984797,i think this is already defined in #6317 so it should not be here again ?,code_debt,low_quality_code
incubator-heron,176,review,56283550,"instead of string formatter - can we use string builder so that we don't have to count the number of formatting arguments - often it takes a couple of iterations to get this right?  String Builder now will be good especially with the CLI options, thoughts?",code_debt,low_quality_code
spark,8531,review,48378751,I'm thinking of taking over this PR and am considering dropping this logic since it adds complexity and might not be a huge performance issue in practice. Let me know if you disagree.,code_debt,complex_code
superset,13210,review,582436382,"`scalar` in linear algebra, relative to `vector`. refer to SQLAlachemy and Pandas variable naming. 
`isArray` more straightforward, I changed this variable name.",code_debt,low_quality_code
spark,3651,review,21697554,"OK, in the name of keeping it simple I might not touch this this time. Since this occurs 2 places only, it doesn't save much.",code_debt,low_quality_code
flink,6173,review,196042694,"We have unmodifiable map alternatives in the JDK. If there is not a good reason why we need guava here, I would suggest to solve this without this import. Even in that case, I would use import and not fully qualified classname.",code_debt,low_quality_code
spark,23062,review,234404871,Spacing here. Is this simpler with .forall?,code_debt,low_quality_code
spark,11620,review,56418491,indentation,code_debt,low_quality_code
incubator-heron,1820,review,113760959,Is this the implementation class? If so can we use `class` instead of type to be more explicit?,code_debt,low_quality_code
orc,570,review,528911518,Could you add `@deprecated` to give a proper warning?,code_debt,low_quality_code
calcite,2286,review,534475582,"What about using `rules(RelTrait in, JdbcConvention out, RelBuilderFactory relBuilderFactory)` here, but with null `in` value and adding if statement in that other overloaded method?
It allows slightly avoid duplication of code",code_debt,duplicated_code
spark,15971,review,89209660,"This is pretty hacky. It makes assumptions about how things are formatted in the event log.
The previous assert should be enough (ignoring my previous comment about changing this test).",code_debt,complex_code
nifi-minifi-cpp,1040,review,605509404,"minor, but `org::apache::nifi::minifi::` is not needed
in a few other places, too, `org::apache::nifi::minifi::utils::StringUtils::toBool(...)` could be shortened to `utils::StringUtils::toBool(...)`",code_debt,dead_code
attic-stratos,192,review,23697450,I think its better to use org.wso2.carbon.utils.CarbonUtils.getCarbonHome() here.,code_debt,low_quality_code
nifi,4767,review,561227339,Perhaps renaming this variable to something like `DEFAULT_STORE_TYPE` would clarify the reason for declaring it here as opposed to just using the enum value where necessary.,code_debt,low_quality_code
beam,4910,review,175947778,At this pointm it may be worth wrapping the getXOrThrow calls to actually return a legible error message since the generated code does not print the input ids.,code_debt,low_quality_code
spark,23982,review,263647807,nit: `left_anti`,code_debt,low_quality_code
lucene-solr,2229,review,562524364,"Would it be acceptable to reformat the code when such a demand appears, or after I'm finished with these improvements? These ""some people"" might never need to look into Hunspell code.",code_debt,low_quality_code
hadoop,1881,review,388858948,nit: this line is long enough its time to split,code_debt,low_quality_code
druid,10070,review,445155089,minor nit:mark return type as nullable,code_debt,low_quality_code
tvm,1403,review,201886571,"this warning seems can be a bit frequent, instead of this, do
Do CHECK_GE(sorted_order_.size(), threads_.size());",code_debt,low_quality_code
kafka,7799,review,364476808,"We only needed it here because the we were trying to ensure we had a chance to send the Abort before going into poll. After thinking about it, it seemed a little simpler to move the `hasAbortableError` check to `maybeSendAndPollTransactionalRequest`. Then we no longer need this change.",code_debt,low_quality_code
netbeans-website,473,review,430013474,Mmm.... infra will complain if we use jenkins builds as an update center. Also note this is extremely slow...,code_debt,slow_algorithm
