project,pull_number,pull_type,id,text,classification,indicator
nifi,4767,review,561227339,Perhaps renaming this variable to something like `DEFAULT_STORE_TYPE` would clarify the reason for declaring it here as opposed to just using the enum value where necessary.,code_debt,low_quality_code
incubator-doris,3587,review,425210765,The second parameter is better to be a complete sentence.,code_debt,low_quality_code
cloudstack,768,review,39469736,Why are deprecated methods being used?,code_debt,low_quality_code
accumulo,1995,review,607994959,I think these error message would be more useful if they included the full path of the client props file that was used.,code_debt,low_quality_code
netbeans-website,473,review,430013474,Mmm.... infra will complain if we use jenkins builds as an update center. Also note this is extremely slow...,code_debt,slow_algorithm
kafka,7799,review,364476808,"We only needed it here because the we were trying to ensure we had a chance to send the Abort before going into poll. After thinking about it, it seemed a little simpler to move the `hasAbortableError` check to `maybeSendAndPollTransactionalRequest`. Then we no longer need this change.",code_debt,low_quality_code
spark,7181,review,33755269,how is this less code? It is just a bad idea to create unnecessary state. Just move both tables into two fields in Hex object.,code_debt,complex_code
spark,20787,review,175982564,"Hm, this should have been caught by Scala linter because we follow Java style comment. See ""Code documentation style"" in http://spark.apache.org/contributing.html",code_debt,low_quality_code
helix,1663,review,588774064,"This test should probably be named as TestZkClientAsyncFailureMetric since your new code is only adding metrics. The aync function should be already covered in existing tests. 
With that said, have you checked whether it's possible to only add metrics testing to existing tests by mocking the results? That would save us one additional test file. If there is no available code path or too many efforts involved, I'm fine with having a separate test too. But please check the zkclient and monitor test.",code_debt,low_quality_code
spark,3651,review,21697554,"OK, in the name of keeping it simple I might not touch this this time. Since this occurs 2 places only, it doesn't save much.",code_debt,low_quality_code
flink,9082,review,340395215,throw `IllegalArgumentException` or `UnsupportedOperatorException` makes more sense to me.,code_debt,low_quality_code
kafka,6363,review,278752888,This is getting a bit confusing -- this seems the same as `currentWorkerAssignment`. What mutates that causes this to be different?,code_debt,low_quality_code
flink,12268,review,430016877,"hmm, not sure. Maybe this happens because the JVM writes that to the STDERR. That's annoying :/
This is probably fine then; I was initially worried we might get so long filenames that you wouldn't be able to extract the logs on Windows.",code_debt,low_quality_code
iceberg,2167,review,571340787,"Nit: it would be nice to keep the expression on one line, wrapping after `checkArgument(`",code_debt,low_quality_code
spark,19460,review,143571046,I get declaring a constant though it doesn't just pertain to byte arrays. I couldn't find a good place for it. I don't know if its reused so much that it needs this,code_debt,low_quality_code
camel,3171,review,324231977,Maybe this at debug. Too noisy.,code_debt,low_quality_code
incubator-pinot,2068,review,149484084,"todo before release: 
Document this cp as what's it's doing is a little bit obscure",code_debt,low_quality_code
orc,570,review,528911518,Could you add `@deprecated` to give a proper warning?,code_debt,low_quality_code
spark,21200,review,185664585,"It's not okay catch and ignore all throwables. E.g. OOMs should NEVER be ignored as it leads absolutely unexpected situations.
At best, you can catch `NonFatal(ex)` and ignore those (only after logging as a warning). For other throwables, log as a warning, and rethrow.",code_debt,low_quality_code
attic-apex-core,479,review,108591304,"This method doesn't always create a new DeployRequest - can we name it appropriately? Say ""addOrModifyDeployRequest"" or ""getDeployRequestForContainerId"". By the way, would it be an error in some cases to find an existing DeployRequest for a given containerId? For example when you are calling this from StreamingContainerManager.scheduleContainerRestart(), wouldn't it be an error to find an existing request? If true, we should add code to detect such errors. The caller passes a parameter to indicate that only new request is expected to be created and so on...",code_debt,low_quality_code
spark,28952,review,447482241,"let's put `10` as a parameter, to make this method a bit more general.",code_debt,low_quality_code
storm,215,review,15836939,"We should remove Config.UI_ACTIONS_ENABLED, or at least deprecate it.",code_debt,dead_code
flink,12042,review,422441179,"in fact, the table qualified name may be long. in addition, we may need to add catalog name and database name to distinguish between tables with the same name.",code_debt,low_quality_code
qpid-dispatch,1097,review,608990009,"Can we drop ""Adaptor"" from this class name?  When I first read this I was assuming it was a set of tests that pertained only to the HTTP1 Adaptor.
Also should this class be a subclass of ""object""?",code_debt,low_quality_code
kafka,2405,review,97622033,Feels like this collection is redundant. You can get the name from `InternalTopicConfig` perhaps?,code_debt,complex_code
daffodil,408,review,488125346,"I think it would be more clear to just do string matching. E.g.
The regex just adds extra complexity. Same with setProperty.",code_debt,complex_code
kafka,6521,review,273258127,"Could you add a check to verify that the returned iterator is empty. Something along the lines of `assertThat(iterator.hasNext(), is(false))`?
Could you also add a test for a range query where the start key is equal to the end key? Such a unit test ensures correct behaviour for this special case.    
nit: I would rename the test to `shouldReturnEmptyIteratorForRangeQueryWithInvalidKeyRange`. Correct me, if I am wrong, but I think the empty iterator and the invalid key range are the points here, not the negative starting key. I would even change the range from (-1, 1) to (5, 3). It took me a bit to understand why (-1, 1) is an invalid range. 
These comments apply also to the unit tests below.",code_debt,low_quality_code
kafka,3575,review,129764370,Nit: should we include bytes like we did `ms` for the other case?,code_debt,low_quality_code
spark,7842,review,43212805,The curly braces are not needed. The same for the following `case` statement.,code_debt,complex_code
incubator-mxnet,10900,review,188720460,I would suggest to simply use `mx.image.imread()` and then call `.asnumpy()` before plotting. There shouldn't be a need of a dependency on `cv2` that way.,code_debt,complex_code
spark,15009,review,106230108,nit: move to previous line,code_debt,low_quality_code
drill,1251,review,187210052,I just removed this detail since we are saying these libraries are deprecated and we no longer want to use them.,code_debt,dead_code
airflow,12383,review,524536973,"I don't think we really need this -- with multiple webserver worker processes any refresh would lead to confusing state (some on new list, some on old, and no way to tell which is which) unless we have some way to make _all_ workers perform it.",code_debt,complex_code
kafka,5379,review,204563539,"Personally, I would get rid of this and use `extensionValue` and `extensionNames`. Otherwise, as @rondagostino said below, we should remove `extensionValue`.",code_debt,low_quality_code
flink,4851,review,145917513,"ad 1. - that's why I have used `StateAssignmentOperation.operatorSubtaskStateFrom`, to share this logic. I didn't want to use all of the `StateAssignmentOperation`, because it's constructor is really annoying to fulfil.
ad 2. - that's a valid concern, however writing ITCases for this might be also an overkill. And wouldn't it be to necessary to test it against every state backend, to make sure that there are no introduced quirks during (de)serialisation?",code_debt,low_quality_code
daffodil,291,review,348540375,"These ``_fileOS == null`` checks are kindof ugly. Thoughts on making this so this class just extends OutputStream instead of ByteArrayOutputStream, and then make it a wrapper for an output stream, which might change from ByteArrayOutputStream to FileOutputStream? I'm thinking something like:
Makes it so all the overrirde functions are basically just stream.whatever(), except for write which just calls the switch thing. Another benefit is once the switch happens, the old ByteArrayOutputStream can be garbage collected, whereas before it couldn't.",code_debt,low_quality_code
cloudstack,2578,review,225156473,"This message looks a little bit misleading, or am I mistaken?",code_debt,low_quality_code
spark,10993,review,51332430,"AFAICT, this is never used, so I removed it.",code_debt,dead_code
incubator-mxnet,12918,review,227170725,"Can you use something like this instead?
Otherwise it throws an uncaught exception on CPU only machines.",code_debt,low_quality_code
kafka,6536,review,275588869,"Well, my point is, that the check can be simplified. I don't think that `record.headers() == null` can be true; it's guaranteed that there is a headers object.
Not sure if we can simplify the second check. It iterators over the headers map and does String comparison to find a header with key `v` -- seems to be rather heavy.",code_debt,complex_code
spark,4363,review,24212525,nit: indent two spaces,code_debt,low_quality_code
spark,6959,review,33198256,"AFAIK we don't have a style guide for Java code, but I think we should put spaces after the casts.",code_debt,low_quality_code
arrow,9356,review,580411319,This cast is unnecessary since the `Sum` method already returns a `double`.,code_debt,complex_code
beam,3936,review,142818337,This will slow down this performance critical code.,code_debt,slow_algorithm
beam,8270,review,274875921,Seems it'd be worth factoring this out into a context (including the expansion service jar test above).,code_debt,low_quality_code
drill,520,review,106658488,"This ` <exclude>javax/**</exclude>` exludes validation-api as well. Therefore it should be deleted. 
To avoid including unnecessary libraries I decided to add:
`               <exclude>javax/activation/**</exclude>`
`               <exclude>javax/annotation-api/**</exclude>`
`               <exclude>javax/inject/**</exclude>`
`               <exclude>javax/servlet-api/**</exclude>`
`               <exclude>javax/json/**</exclude>`
`               <exclude>javax/ws/**</exclude>`",code_debt,low_quality_code
spark,23181,review,237952522,nit: `clone()`,code_debt,low_quality_code
flink,14839,review,586411292,Why `rethrow` as `RuntimeException`?,code_debt,low_quality_code
druid,2806,review,59071300,the default should be made a constant somewhere instead of being defined in multiple places,code_debt,low_quality_code
cassandra,730,review,485793488,"this is `Class.toString` which is harder to read for arrays, so did this so I could read the output without googling =D.
primitives and objects will normally have valid string names, but arrays will be like `J[` which require knowing what that means or googling it.",code_debt,low_quality_code
spark,5400,review,27923456,nit: spaces around `{`,code_debt,low_quality_code
airflow,2372,review,140193220,This is redundant.,code_debt,complex_code
nifi,914,review,75858615,"Might be able to create a utility method in the abstract class like `byte[] getRow(String row, String encoding)` since it looks PutHBaseCell and PutHBaseJson both need the same logic",code_debt,low_quality_code
carbondata,1321,review,138830621,"`null != sortScope` can be removed, it is checked inside `CarbonUtil.isValidSortOption`",code_debt,complex_code
arrow,467,review,109291184,"There's https://github.com/apache/arrow/blob/master/cpp/cmake_modules/FindPythonLibsNew.cmake, is one or the other made redundant by the other?",code_debt,complex_code
druid,50,review,2541441," Also, there's no need for the String.format(), preconditions will do %s interpolation for you (I realize the String.format()was there before, but let's take this chance to get rid of it).",code_debt,low_quality_code
phoenix,933,review,510479056,nit: 0L,code_debt,low_quality_code
airflow,11132,review,495856534,"Yea default values can be hardcoded.
And also agree that showing a precise message for the used config will be better",code_debt,low_quality_code
cloudstack,2058,review,139283005,"Fix indentations if you want to remove try-catch, also add a test?",code_debt,low_quality_code
