incubator-brooklyn,131,Duplicate
tvm,3531,PoorOutput
calcite,1825,PoorPerformance
calcite,2076,DeadDocs
zookeeper,904,BugProne
kafka,6977,DeadCode
incubator-heron,3123,Convention
trafficserver,834,Readability
nifi-minifi-cpp,74,DeadCode
spark,19041,Convention
kylin,961,Convention
kafka,8706,DeadCode
superset,10473,DeadCode
spark,22197,Readability
spark,28641,BugProne
nifi,3536,DeadCode
spark,26594,Readability
flink,5367,Duplicate
airflow,4751,PoorPerformance
kafka,9100,Readability
airflow,11541,Readability
accumulo,484,DeadCode
parquet-mr,456,BugProne
calcite,1075,Convention
beam,4080,DeadCode
daffodil,3,NotSATD
spark,4525,BugProne
spark,13410,DeadCode
flink,6076,Duplicate
incubator-pinot,2228,DeadCode
spark,610,Convention
nifi,4824,Readability
arrow,4542,PoorPerformance
incubator-mxnet,16790,PoorPerformance
kafka,7994,Readability
flink,9866,NotSATD
spark,22646,PoorOutput
spark,19901,Convention
hadoop,885,Convention
spark,9353,Convention
cloudstack,1953,PoorPerformance
nifi,3894,DeadCode
spark,11236,NotSATD
spark,29715,ArchitecturalFlaw
zookeeper,1257,BugProne
kafka,683,ArchitecturalFlaw
bookkeeper,888,ArchitecturalFlaw
carbondata,3800,PoorPerformance
tinkerpop,144,PoorPerformance
tajo,674,DeadCode
apisix,336,DeadCode
arrow,9397,ArchitecturalFlaw
flink,10358,PoorPerformance
spark,18567,PoorTesting
cloudstack,1519,PoorTesting
spark,6059,PoorTesting
fineract,726,BugProne
flink,13595,PoorTesting
spark,26108,DeadCode
spark,22375,BugProne
spark,22071,ArchitecturalFlaw
spark,5350,Duplicate
airflow,7516,PoorPerformance
reef,234,DeadCode
drill,1953,MissingDocs
beam,5384,DeadDocs
incubator-pagespeed-ngx,1028,DeadDocs
druid,5632,MissingDocs
spark,10152,MissingDocs
druid,7647,Readability
airflow,8875,MissingDocs
superset,6519,PoorPerformance
tinkerpop,1309,Convention
flink,879,DeadCode
superset,6663,BugProne
beam,13592,PoorPerformance
