,Duplicate,PoorOutput,PoorPerformance,DeadCode,DeadDocs,MissingDocs,Readability,Convention,BugProne,PoorTesting,ArchitecturalFlaw,NonCodeArtifact,NotSATD
Duplicate,,0.19644148233326508,0.17805522935321494,0.20373808030762577,0.13224802278452685,0.18535443848130104,0.1649055821456109,0.17479043887597884,0.2181978291455988,0.19176243036301818,0.1358208452614384,0.1896980450805777,0.06705144525141715
PoorOutput,0.19644148233326508,,0.5586489511168455,0.6813303693935,0.32635258956831736,0.5725893220302929,0.23877556728359137,0.22113269498465843,0.624852121071515,0.8688608336140491,0.35661214757200943,0.6621425199526819,0.03062152392948574
PoorPerformance,0.17805522935321494,0.5586489511168455,,0.4058944014096285,0.4630920922165226,0.7900703368471497,0.7264086173280424,0.9504052717761586,0.4102271610880065,0.8611290261200131,0.5016280175279366,0.6599400810072966,0.04020788457633623
DeadCode,0.20373808030762577,0.6813303693935,0.4058944014096285,,0.2881324924496359,0.2733602379182015,0.12738471579587018,0.04692902991443149,0.7551788457783615,0.7645460857489219,0.3139688101928862,0.18085671548947746,0.028219006458084405
DeadDocs,0.13224802278452685,0.32635258956831736,0.4630920922165226,0.2881324924496359,,0.3875227277702179,0.5526485664403311,0.45623514464237147,0.2613927163897603,0.43940001860435884,0.982921417994844,0.3559176837495821,0.2772487115539374
MissingDocs,0.18535443848130104,0.5725893220302929,0.7900703368471497,0.2733602379182015,0.3875227277702179,,0.4168007865031037,0.5169827232375588,0.43194925464536427,0.9731990188797113,0.4225840620396677,0.7231348330837424,0.03692231960091723
Readability,0.1649055821456109,0.23877556728359137,0.7264086173280424,0.12738471579587018,0.5526485664403311,0.4168007865031037,,0.6609747522868372,0.22456159075244306,0.6764727897824941,0.5927106842257948,0.26958828093198167,0.05247405083377311
Convention,0.17479043887597884,0.22113269498465843,0.9504052717761586,0.04692902991443149,0.45623514464237147,0.5169827232375588,0.6609747522868372,,0.2725229477341283,0.8143955982350173,0.4948006691757001,0.14400659797603677,0.0448409924986825
BugProne,0.2181978291455988,0.624852121071515,0.4102271610880065,0.7551788457783615,0.2613927163897603,0.43194925464536427,0.22456159075244306,0.2725229477341283,,0.6647205906076208,0.2877034685773589,0.4807534703763292,0.018883876656500258
PoorTesting,0.19176243036301818,0.8688608336140491,0.8611290261200131,0.7645460857489219,0.43940001860435884,0.9731990188797113,0.6764727897824941,0.8143955982350173,0.6647205906076208,,0.4751155821083777,0.9576939293932141,0.03910538042174665
ArchitecturalFlaw,0.1358208452614384,0.35661214757200943,0.5016280175279366,0.3139688101928862,0.982921417994844,0.4225840620396677,0.5927106842257948,0.4948006691757001,0.2877034685773589,0.4751155821083777,,0.3882141561717667,0.28188773189557204
NonCodeArtifact,0.1896980450805777,0.6621425199526819,0.6599400810072966,0.18085671548947746,0.3559176837495821,0.7231348330837424,0.26958828093198167,0.14400659797603677,0.4807534703763292,0.9576939293932141,0.3882141561717667,,0.03585620218804688
NotSATD,0.06705144525141715,0.03062152392948574,0.04020788457633623,0.028219006458084405,0.2772487115539374,0.03692231960091723,0.05247405083377311,0.0448409924986825,0.018883876656500258,0.03910538042174665,0.28188773189557204,0.03585620218804688,
