project,pull_number,pull_type,id,text,classification,indicator
spark,17130,review,104006906,"~I think it is better to explicitly declare the data instead of manipulating strings, that way it is very clear what the input data is for the example.~ On second thought, never mind this comment - it's pretty clear the way it is",code_debt,low_quality_code
spark,9867,review,46597229,"You should be able to have a single run with ""-Pkinesis-asl -Pyarn -Phive -Phive-thriftserver"" - I even think ""-Phive"" is unnecessary, I think it only affects packaging right now.
""-Phadoop2.2"" is unnecessary, that's the default.",code_debt,complex_code
airflow,13929,review,570530609,This exception is too broad,code_debt,low_quality_code
trafficcontrol,4959,review,470844261,I hope someone can figure out why I couldn't get that to work. It was *very* confusing.,code_debt,low_quality_code
flink,1640,review,52993965,"I think you can create the callback once in the open method and then pass the instance to all async calls.
This way, you save a lot of instance creations",code_debt,low_quality_code
flink,6159,review,195443441,"@Nonnegative int keyGroupId, for consistency",code_debt,low_quality_code
zookeeper,924,review,299043313,Unused default constructor.,code_debt,dead_code
druid,3570,review,87488947,"TreeMap was used in the original GroupByEngine code being moved, my goal with this PR was to create the interface and move type-specific code but not change functionality generally/target performance optimizations",code_debt,slow_algorithm
openwhisk,1071,review,75486973,"As noted in personal discussion:
I found it hard to grasp the code because we use `Unit` returning functions which resolve a `Promise` at some point. This reads like it blocks the code until the result is there (which makes no sense at this point).
I'ld prefer to use `Future` composition if possible so it becomes more apparent that this is in fact returning a Future which is resolved as soon as the ack-message is there.",code_debt,low_quality_code
nifi-minifi-cpp,788,review,428031207,Unnecessary semicolon at the end of the line.,code_debt,low_quality_code
ambari,1646,review,199117523,This is unnecessary.,code_debt,complex_code
spark,31721,review,589378403,"nit: please use the upper case where possible, `LIST ARCHIVES`.",code_debt,low_quality_code
