project,pull_number,pull_type,id,text,classification,indicator
pulsar,3019,review,243864237,"yes, I think earlier code was not formatted with formatter that caused this reformatting change.",code_debt,low_quality_code
spark,8093,review,36782853,"Hmm... you'll also need to change `taskEndReasonFromJson`, otherwise the history server won't see the new information. Also, when adding new properties to serialized classes, we generally use `Option[Foo]` (see calls to `Utils.jsonOption` in this class).",code_debt,low_quality_code
spark,13565,review,66319324,"Pretty sure that such a long duration isn't really necessary, but I don't think it hurts to make it longer just in case.",code_debt,low_quality_code
flink,4364,review,128512830,"In very rare cases, it might. I want to change the `Execution` a bit on the `master` to make this unnecessary.
However, that is too much surgery in a critical part for a bugfix release, so I decided to be conservative in the runtime code and rather pay this price in the tests.",code_debt,complex_code
trafficserver,6379,review,373984797,i think this is already defined in #6317 so it should not be here again ?,code_debt,low_quality_code
spark,8531,review,48378751,I'm thinking of taking over this PR and am considering dropping this logic since it adds complexity and might not be a huge performance issue in practice. Let me know if you disagree.,code_debt,complex_code
superset,13210,review,582436382,"`scalar` in linear algebra, relative to `vector`. refer to SQLAlachemy and Pandas variable naming. 
`isArray` more straightforward, I changed this variable name.",code_debt,low_quality_code
spark,11620,review,56418491,indentation,code_debt,low_quality_code
calcite,2286,review,534475582,"What about using `rules(RelTrait in, JdbcConvention out, RelBuilderFactory relBuilderFactory)` here, but with null `in` value and adding if statement in that other overloaded method?
It allows slightly avoid duplication of code",code_debt,duplicated_code
attic-stratos,192,review,23697450,I think its better to use org.wso2.carbon.utils.CarbonUtils.getCarbonHome() here.,code_debt,low_quality_code
spark,23982,review,263647807,nit: `left_anti`,code_debt,low_quality_code
tvm,1403,review,201886571,"this warning seems can be a bit frequent, instead of this, do
Do CHECK_GE(sorted_order_.size(), threads_.size());",code_debt,low_quality_code
phoenix,516,review,292095594,Do you mean I should remove the `addPKColumns` variable and change the if statement to something like the following:,code_debt,low_quality_code
beam,10455,review,362682454,Is it possible to reverse this (`SqlTypeFamily.BINARY.equals(family)`)? That is the preferred style and also eliminates the need for a null check.,code_debt,low_quality_code
spark,5760,review,29388845,"OK, yeah I see that in the docs, though it's not set up that way in CDH (at least, maybe my installation never needed to configure that file a certain way, dunno). It seems bad to silently ignore unreadable files, so at least log it maybe? then... should it be a warning? because it sounds like there's one file that could reasonably be expected to be unreadable. Do we special case it and warn on anything else? fail on anything else?  i'd rather tighten this up in some way from doing this silently.",code_debt,low_quality_code
spark,204,review,11469526,"Very minor - but I'm guessing the first error condition will happen way more often than the second - and getting a message that says it's ""invalid"" is a lot less clear than just saying it doesn't exist. What about breaking these out and including more specific error messages in either case? Also it might be nice to print the value of `fileSystem` in the error message, so it knows what filesystem we inferred the path to be from.",code_debt,low_quality_code
flink,6236,review,241972720,Format the code to be consistent with old functions,code_debt,low_quality_code
spark,23747,review,269640058,Nit: Redundant conversion,code_debt,complex_code
cloudstack,1578,review,77754965,"Per our coding standards, please wrap all `if` blocks in curly braces.",code_debt,low_quality_code
jena,337,review,159239355,"Doing just one operation for fluent seems inconsistent. `Context` manipulation isn't (shouldn't) be that common an operation.
See also the quite recent `Context.mergeCopy`.",code_debt,low_quality_code
trafodion,1036,review,109077021,Would this change be needed if we touch the package name in T2 source to include apache ? Should we change the package name (org.apache.trafodion...) in the source and the file layout  to make it consistent ?,code_debt,low_quality_code
spark,1484,review,23672440,It might be easier to read if we use multiple lines:,code_debt,low_quality_code
arrow,5451,review,329113827,"This is ""bad"", according to the tidyverse style guide, which I believed we were trying to follow: https://style.tidyverse.org/functions.html#long-lines-1
I can get used to whatever style conventions we decide, just want to make sure we're in agreement.",code_debt,low_quality_code
